city,idx,today_o3_average,tomorrow_o3_average
Hérouville-Saint-Clair,4607.0,27.0,31.0
Herblay,,,
Hénin-Beaumont,11677.0,23.0,27.0
Hem,6251.0,21.0,23.0
Hazebrouck,,,
Hayange,6381.0,21.0,28.0
Hautmont,6259.0,27.0,31.0
Yutz,6370.0,32.0,31.0
Haubourdin,10084.0,23.0,26.0
Halluin,6261.0,,
Haguenau,,,
Guyancourt,,,
Gujan-Mestras,,,
Guéret,10080.0,31.0,31.0
Guérande,,,
Grigny,,,
Grenoble,3067.0,16.0,25.0
Grasse,,,
Grande-Synthe,5016.0,16.0,27.0
Gradignan,5055.0,24.0,33.0
Goussainville,3105.0,28.0,31.0
Gonesse,3105.0,28.0,31.0
Givors,3033.0,21.0,22.0
Gif-sur-Yvette,,,
Gien,,,
Gentilly,5722.0,26.0,29.0
Gennevilliers,3085.0,25.0,28.0
Garges-lès-Gonesse,3105.0,28.0,31.0
Gardanne,6899.0,28.0,38.0
Garches,6937.0,25.0,28.0
Gap,6878.0,30.0,25.0
Gagny,3102.0,28.0,31.0
Frontignan,,,
Fresnes,3103.0,26.0,29.0
Fréjus,10546.0,34.0,39.0
Franconville,3085.0,25.0,28.0
Fougères,,,
Fos-sur-Mer,5047.0,20.0,28.0
Forbach,7663.0,34.0,32.0
Fontenay-sous-Bois,3102.0,28.0,31.0
Fontenay-le-Comte,,,
Fontenay-aux-Roses,5722.0,26.0,29.0
Fontainebleau,3083.0,33.0,33.0
Fontaine,3067.0,16.0,25.0
Floirac,5056.0,29.0,30.0
Fleury-les-Aubrais,6578.0,33.0,32.0
Flers,,,
Firminy,,,
Fécamp,,,
Faches-Thumesnil,8613.0,23.0,27.0
Eysines,5058.0,29.0,31.0
Évry,,,
Évreux,4595.0,29.0,32.0
Étampes,,,
La Baule-Escoublac,,,
Ermont,3085.0,25.0,28.0
Éragny,3104.0,29.0,32.0
Équeurdreville-Hainneville,4602.0,27.0,35.0
Épinay-sur-Seine,3085.0,25.0,28.0
Épinal,6384.0,32.0,34.0
Épernay,6809.0,33.0,32.0
Elbeuf,4608.0,29.0,32.0
Élancourt,,,
Écully,3027.0,27.0,19.0
Échirolles,3068.0,16.0,25.0
Eaubonne,3085.0,25.0,28.0
Dunkerque,6247.0,20.0,23.0
Dreux,6582.0,29.0,31.0
Draveil,,,
Drancy,3099.0,28.0,31.0
Draguignan,,,
Douarnenez,,,
Douai,6256.0,24.0,28.0
Domont,5963.0,29.0,33.0
Dole,6391.0,32.0,34.0
Dijon,11954.0,32.0,33.0
Digne-les-Bains,,,
Dieppe,10088.0,31.0,32.0
Deuil-la-Barre,3085.0,25.0,28.0
Denain,6267.0,24.0,29.0
Décines-Charpieu,3026.0,27.0,19.0
Dax,5068.0,25.0,28.0
Dammarie-les-Lys,3095.0,32.0,32.0
Cugnaux,3833.0,24.0,37.0
Croix,6251.0,21.0,23.0
Créteil,3102.0,28.0,31.0
Crépy-en-Valois,,,
Creil,5171.0,28.0,33.0
Cran-Gevrier,3056.0,22.0,25.0
Cournon-d’Auvergne,8610.0,24.0,23.0
Courbevoie,3085.0,25.0,28.0
Coulommiers,3094.0,33.0,32.0
Couëron,,,
Coudekerque-Branche,5011.0,20.0,23.0
Cormeilles-en-Parisis,3097.0,12.0,17.0
Corbeil-Essonnes,,,
Conflans-Sainte-Honorine,3104.0,29.0,32.0
Concarneau,,,
Compiègne,,,
Combs-la-Ville,,,
Pontault-Combault,3093.0,29.0,32.0
Colomiers,3830.0,22.0,35.0
Colombes,3085.0,25.0,28.0
Colmar,3822.0,27.0,30.0
Cognac,5076.0,,
Cluses,7743.0,,
Clichy-sous-Bois,3101.0,29.0,32.0
Clichy,5722.0,26.0,29.0
Clermont-Ferrand,10062.0,24.0,23.0
Clamart,6937.0,25.0,28.0
Cholet,4998.0,34.0,31.0
Choisy-le-Roi,3103.0,26.0,29.0
Chilly-Mazarin,3103.0,26.0,29.0
Chevilly-Larue,3103.0,26.0,29.0
Cherbourg-Octeville,4602.0,27.0,35.0
Chenôve,11954.0,32.0,33.0
Chennevières-sur-Marne,3102.0,28.0,31.0
Chelles,3093.0,29.0,32.0
Chaville,6937.0,25.0,28.0
Chaumont,,,
Chatou,3097.0,12.0,17.0
Châtillon,5722.0,26.0,29.0
Châtenay-Malabry,6937.0,25.0,28.0
Châtellerault,,,
Château-Thierry,,,
Châteauroux,11941.0,25.0,28.0
Châteaudun,,,
Chartres,11940.0,30.0,31.0
Charleville-Mézières,6813.0,33.0,35.0
Charenton-le-Pont,5722.0,26.0,29.0
Champs-sur-Marne,3093.0,29.0,32.0
Champigny-sur-Marne,3102.0,28.0,31.0
Chambéry,3039.0,21.0,27.0
Chamalières,6416.0,24.0,23.0
Chalon-sur-Saône,11950.0,30.0,31.0
Châlons-en-Champagne,6808.0,33.0,31.0
Challans,,,
Cestas,,,
Cesson-Sévigné,3148.0,34.0,31.0
Cergy,3104.0,29.0,32.0
Cenon,5056.0,29.0,30.0
Cavaillon,,,
Castres,3841.0,23.0,37.0
Castelnau-le-Lez,5091.0,20.0,30.0
Carvin,11677.0,23.0,27.0
Carrières-sous-Poissy,,,
Carquefou,4995.0,27.0,32.0
Carpentras,,,
Carcassonne,,,
Canteleu,10087.0,30.0,33.0
Cannes,6896.0,32.0,37.0
Cambrai,6255.0,,
Caluire-et-Cuire,3027.0,27.0,19.0
Calais,5014.0,13.0,28.0
Cahors,,,
Cagnes-sur-Mer,6885.0,37.0,32.0
Caen,4607.0,27.0,31.0
Cachan,5722.0,26.0,29.0
Bry-sur-Marne,3102.0,28.0,31.0
Brunoy,,,
Bruay-la-Buissière,,,
Bron,7744.0,27.0,19.0
Brive-la-Gaillarde,6593.0,27.0,33.0
Brignoles,6901.0,34.0,39.0
Brie-Comte-Robert,,,
Brétigny-sur-Orge,,,
Brest,3146.0,30.0,33.0
Bressuire,,,
Bourgoin,,,
Bourg-lès-Valence,12679.0,20.0,23.0
Bourg-la-Reine,5722.0,26.0,29.0
Bourges,6575.0,24.0,29.0
Bourg-en-Bresse,3045.0,25.0,25.0
Boulogne-sur-Mer,6248.0,19.0,29.0
